French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
bureau,office
